it_id	italian	nl_id	dutch
373957	Sono libero.	879243	Ik ben vrij.
1196287	Lasciate ogni speranza, voi che entrate!	3209879	Laat varen alle hoop, gij die hier binnentreedt!
4536830	Ha una camicia nera.	8433488	Hij heeft een zwart overhemd.
6284824	Amo tradurre.	8101404	Ik hou van vertalen.
4359558	Vuole danzare.	818235	Zij wil dansen.
979949	È ritornata la pace dopo tre anni di guerra.	720398	De vrede kwam terug na drie jaar oorlog.
2401343	Voglio essere tua amica.	3798094	Ik wil je vriendin zijn.
624876	Sei solo?	690897	Zijt ge alleen?
4623274	Va al lavoro a piedi.	4624594	Zij loopt naar het werk.
1653319	Sono ancora giovani.	8443241	Ze zijn nog jong.
2925390	È attraente.	4395490	Ze is aantrekkelijk.
6470140	Vengo dall'Africa del Nord.	7451007	Ik kom uit Noord-Afrika.
3814540	Hai visitato la Torre di Londra?	847764	Heb je de Tower of London bezocht?
4153787	Vogliamo diventare famose.	4154589	Wij willen beroemd worden.
2758405	Sembri pallido oggi.	797481	Ge ziet er bleek uit vandaag.
11817094	Scrivete il vostro nome.	9711970	Schrijf uw naam.
1548534	Ho la diarrea.	3005406	Ik heb diarree.
3814314	Nuotavamo.	7680695	We zwommen.
2527263	È buona.	6827023	Zij is goed.
3251644	Lascia in pace Tom.	3039369	Laat Tom met rust.
2191307	Sono meravigliose.	3167814	Ze zijn prachtig.
5328516	Sei il mio vicino.	8437969	Je bent mijn buurman.
4781667	Siete studenti?	7263425	Zijn jullie studenten?
999156	Vuole mangiare qualcosa?	847730	Wil je iets eten?
4694370	Eravamo tutti così affamati.	8207166	We hadden allemaal zo’n honger.
946144	Studiamo l'inglese.	8580679	Laten we Engels studeren.
621123	Ho perso il mio orologio.	790763	Ik ben mijn horloge kwijt.
2697180	Lasci questo paese.	7481105	Verlaat dit land.
3554743	Preferisco fare una doccia di mattina.	4570194	Ik douch liever 's morgens.
5330935	Vengo dagli Stati Uniti.	7368470	Ik ben uit de Verenigde Staten.
4067945	Fai strada.	9296739	Wijs de weg.
5921850	Chiama la sicurezza.	9052888	Bel de beveiliging.
3482273	Aiuterà i poveri.	7706624	Hij zal de armen helpen.
5570576	Sono delusa che il mio amico non sia qui.	8316290	Ik ben teleurgesteld dat mijn vriend hier niet is.
4427854	Stiamo ancora aspettando una risposta.	10749000	We wachten nog op antwoord.
4202663	Ha dei piani.	7135487	Ze heeft plannen.
3564199	È il mio fratellastro.	6046670	Hij is mijn halfbroer.
3761802	Parlo solo francese.	7586572	Ik spreek alleen Frans.
4428434	Continua a non capire?	11028803	Begrijpt hij het nog steeds niet?
379135	Parlate inglese?	379476	Spreken jullie Engels?
836299	Puoi darmi un po' di soldi?	997022	Kan je me wat geld geven?
5836928	Stanno parlando in francese.	9637168	Ze spreken Frans.
6546758	Amo le commedie.	847408	Ik hou van komedies.
11842692	Sembravano davvero felici.	7682348	Ze zagen er echt gelukkig uit.
1988377	Ha ancora molto da imparare.	9855372	Hij heeft nog veel te leren.
2181304	Sono brasiliano.	8656828	Ik ben Braziliaan.
638388	Sono malata.	448708	Ik ben ziek.
5104083	Sono una principiante.	7044880	Ik ben een beginner.
1193495	Sei un cane.	7484288	Jij bent een hond.
6709598	Penso che Tom non l'abbia fatto con Mary.	11195740	Ik denk dat Tom dat niet met Maria gedaan heeft.
402523	Sono costipato.	8537989	Ik heb verstopping.
4569460	Dorma bene!	466363	Slaap wel.
4939434	Ho la soluzione.	9444654	Ik heb de oplossing.
5481361	Parlate più piano, per favore.	481102	Spreekt u alstublieft langzamer.
4414203	Ho due figli.	3547086	Ik heb twee zonen.
3296672	Siete creativi.	8502941	Jullie zijn creatief.
2555772	Copia questo file.	11217543	Kopieer dit bestand.
957900	È biologo.	391621	Hij is bioloog.
723172	Ero in ritardo per la scuola.	378006	Ik was te laat op school.
2487455	Sono tuo fratello.	7499811	Ik ben jouw broer.
8503605	È molto grasso.	9685528	Hij is erg dik.
1254354	Ha un violino?	9247118	Heeft u een viool?
387348	Hai un dono per la musica.	726536	Je bent muzikaal begaafd.
1308705	Abitiamo vicino alla frontiera.	1308697	We wonen in de buurt van de grens.
706821	Sono stato nel treno per dodici ore.	847609	Ik zat twaalf uur op de trein.
379138	Sei cinese o giapponese?	727900	Ben je Chinees of Japans?
381888	Fanno troppo rumore, non riesco a concentrarmi.	4275685	Ze maken te veel lawaai. Ik kan me niet concentreren.
766237	Trova equivalenti di frasi multilingui su Tatoeba.org.	764537	Vind meertalige equivalente zinnen op Tatoeba.org.
7033306	Vuoi andare al concerto con me?	8037784	Wil je met mij naar het concert gaan?
1344601	Hai mai cantato in pubblico?	10663278	Heb je ooit in het openbaar gezongen?
