it_id	italian	nl_id	dutch
3251644	Lascia in pace Tom.	3039369	Laat Tom met rust.
375394	È venuto di persona.	8088522	Hij kwam persoonlijk.
3810675	Rimaniamo sposate.	10890498	Laten we getrouwd blijven.
1803145	Ha due sorelle.	1478759	Hij heeft twee zussen.
2020911	Vuole sposare mia figlia.	4284577	Hij wil met mijn dochter trouwen.
3700066	Sai quand'è il compleanno di Tom?	6928336	Weet je wanneer het de verjaardag van Tom is?
10869845	Sono un po' malato.	10869853	Ik ben een beetje ziek.
5283292	Siamo dentro.	8625097	We zijn binnen.
5071113	Tracci una linea da A a B.	1133828	Trek een lijn van A naar B.
4761476	Parlo seriamente.	7586546	Ik spreek serieus.
1426902	Sei pronta a iniziare?	734089	Zijt ge klaar om te beginnen?
4592319	Comprai un paio di forbici.	9324699	Ik heb een schaar gekocht.
5282756	Sono furioso.	5340405	Ik ben woedend.
891008	Posso estendere il mio soggiorno?	6058332	Kan ik mijn verblijf verlengen?
755329	Perse la vita in un incidente stradale.	755324	Hij kwam om het leven bij een verkeersongeluk.
3830584	Compra del pane.	7715190	Hij koopt brood.
4420990	Portami un bicchiere di birra.	9499284	Breng me een glas bier.
3132108	Siamo preparati.	5774311	Wij zijn er klaar voor.
3761799	Parlo solo il francese.	7586572	Ik spreek alleen Frans.
946143	Studiamo inglese.	8580679	Laten we Engels studeren.
1923033	Posso avere la sua attenzione, per piacere?	8296444	Mag ik uw aandacht alstublieft?
7931613	Gioca a baseball?	8709800	Speelt u honkbal?
4108249	Vengo dall'Italia.	7450975	Ik kom uit Italië.
4118395	Giuro che sto dicendo la verità.	12767903	Ik zweer dat ik de waarheid spreek.
1004026	Sembra pallido.	760073	Hij ziet er bleek uit.
4483050	Ho pianto per tutta la notte.	3175092	Ik heb de hele nacht geweend.
3383276	Aspettava l'autobus.	12301029	Ze wachtte op de bus.
4153784	Vogliamo diventare famosi.	4154589	Wij willen beroemd worden.
5285296	Benvenuto a Boston.	4782301	Welkom in Boston.
5424405	Insegno il francese.	12064305	Ik geef Franse les.
1496044	Ho un camion.	1557177	Ik heb een vrachtwagen.
3649084	Ha comprato un giornale.	4459842	Hij kocht een krant.
3412669	Dovrei pulire la mia stanza.	8017139	Ik moet mijn kamer opruimen.
3258340	Indossava degli occhiali.	9554540	Ze droeg een bril.
5285299	Benvenuti a Boston.	4782301	Welkom in Boston.
4228163	È impossibile vivere su quell'isola.	1480398	Je kan niet op dat eiland wonen.
2439892	Hai bisogno di protezione.	4845138	Je hebt bescherming nodig.
3424624	Scusa?	7327958	Pardon?
423827	Devo trovarlo.	440360	Ik moet het vinden.
5836928	Stanno parlando in francese.	9637168	Ze spreken Frans.
3151761	Odio la mia vita.	12743359	Ik haat mijn leven.
2557277	So che Tom è morto.	8237800	Ik weet dat Tom is gestorven.
6564164	È solamente l'inizio.	6841145	Het is slechts het begin.
1523450	Vogliamo vedere questi film.	8434578	We willen deze films kijken.
2191433	Sono fuori.	9275155	Ze staan buiten.
8633166	Parlate in francese.	8982923	Spreek Frans!
2993809	Ha dato da mangiare ai pappagalli?	9247070	Heeft u de papegaaien gevoerd?
1122321	Ho 19 anni.	10603621	Ik ben negentien jaar oud.
2213778	Sto pensando ai miei bambini.	9666798	Ik denk aan mijn kinderen.
3759160	Ha un Picasso.	12507654	Hij heeft een Picasso.
8475622	Nuota.	8475808	Ze is aan het zwemmen.
2711219	Trovi il gatto.	3959210	Zoek de kat.
4644896	Vede questo?	9496683	Ziet u dit?
3849881	Devo andare immediatamente.	8589403	Ik moet onmiddellijk vertrekken.
