Italian	Dutch
Ho un gattino.	Ik heb een katje.
La casa è piccolina.	Het huis is klein.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ma ne ho mangiata solo una fettina.	De taart is heerlijk, maar ik heb alleen een klein stukje gegeten.
Il mio amico ha un nuovo lavoretto.	Mijn vriend heeft een nieuwe deeltijdbaan.
La pioggia è leggera, quasi una pioggerellina.	De regen is zacht, bijna een motregen.
La mia nuova casa è un po' più grandina della precedente.	Mijn nieuwe huis is iets groter dan het vorige.
La mia auto ha un bel motorino.	Mijn auto heeft een mooie, krachtige motor.
La torta è enorme, una tortona!	De taart is enorm, een gigantische taart!
Il bambino ha una vocina dolce.	Het kind heeft een zoete, zachte stem.
La mia sorella ha un nuovo fidanzatino.	Mijn zus heeft een nieuwe vriendje.
La mia bici è una biciclettina da città.	Mijn fiets is een kleine stadsfiets.
Quel uomo è un gigante, un omone!	Die man is een reus, een grote kerel!
Ho una nuova tazza, una tazzina da espresso.	Ik heb een nieuwe mok, een klein espressokopje.
La mia città è una piccola perla, una cittadina incantevole.	Mijn stad is een klein pareltje, een charmante kleine stad.
Ho incontrato una vecchietta molto saggia.	Ik heb een oude, wijze vrouw ontmoet.
Il mio amico ha comprato un cagnolino, un vero batuffolo di pelo.	Mijn vriend heeft een hondje gekocht, een echte pluizige bol.
La torta è deliziosa, una vera tortina da favola.	De taart is heerlijk, een echt sprookjesachtig taartje.
La pioggia ha creato un laghetto nel cortile.	De regen heeft een klein meer in de tuin gecreëerd.
La mia nuova borsa è una borsetta elegante.	Mijn nieuwe tas is een elegante handtas.
Il bambino ha costruito un castellino di sabbia.	Het kind heeft een klein zandkasteel gebouwd.
La torta è enorme, una tortona da record!	De taart is gigantisch, een recordbrekende taart!
Il mio giardino è un piccolo paradiso, un giardinetto fiorito.	Mijn tuin is een klein paradijs, een bloeiend tuintje.
La mia mamma prepara deliziosi biscottini.	Mijn moeder bakt heerlijke koekjes.
La nebbia è fitta, quasi una nebbiona.	De mist is dicht, bijna een dichte nevel.
Il mio gatto ha un musetto carino.	Mijn kat heeft een schattig snoetje.
Ho incontrato una gentile signorina.	Ik heb een vriendelijke jonge dame ontmoet.
Il mio amico ha una nuova macchinina.	Mijn vriend heeft een nieuwe kleine auto.
Ho una piccola ferita, una feritina superficiale.	Ik heb een klein wondje, een oppervlakkige snee.
Ho un gattino.	Ik heb een katje.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
La mia macchina è una macchinina sportiva.	Mijn auto is een klein sportief autootje.
La nonna prepara dei biscottini deliziosi.	Oma maakt heerlijke koekjes.
Il cagnolino abbaia al postino.	Het hondje blaft naar de postbode.
Ho una sorellina.	Ik heb een zusje.
Il mio amico ha comprato una casetta al mare.	Mijn vriend heeft een klein huisje aan zee gekocht.
La ragazza è molto carina.	Het meisje is erg schattig.
Ho trovato una monetina per terra.	Ik vond een klein muntje op de grond.
La mia borsa è una borsetta elegante.	Mijn tas is een elegante handtas.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
Il mio amico ha comprato una casetta al mare.	Mijn vriend heeft een klein huisje aan zee gekocht.
La nonna mi ha dato un dolcetto.	Oma gaf me een klein gebakje.
La ragazza ha un vestitino carino.	Het meisje draagt een schattig jurkje.
Ho trovato un soldino per terra.	Ik vond een klein muntje op de grond.
La mia borsa è una borsettina elegante.	Mijn tas is een elegante, kleine handtas.
Il bambino ha costruito un castellino di sabbia.	Het kind bouwde een klein zandkasteel.
