Italian	Dutch
Non ho visto nessuno al parco.	Ik heb niemand in het park gezien.
Non c'è niente di cui preoccuparsi.	Er is niets waarover je je zorgen hoeft te maken.
Non ho nessun dubbio sulla sua innocenza.	Ik heb geen twijfel over zijn onschuld.
Non voglio nessun regalo per il mio compleanno.	Ik wil geen cadeau voor mijn verjaardag.
Non ho incontrato nessuna persona interessante alla festa.	Ik heb geen interessante mensen op het feest ontmoet.
Non è vero che non hai studiato.	Het klopt niet dat je niet hebt gestudeerd.
Non posso dire di non essere felice.	Ik kan niet zeggen dat ik niet gelukkig ben.
Non è che non mi piaccia il cioccolato, ma non ne voglio ora.	Het is niet zo dat ik chocolade niet leuk vind, maar ik wil het nu niet.
Non è possibile che non sia qui.	Het is niet mogelijk dat hij hier niet is.
Non ho mai incontrato nessuno come te.	Ik heb nog nooit iemand zoals jou ontmoet.
Non è vero che non puoi farcela.	Het klopt niet dat je het niet kunt redden.
Non c'è nulla di più bello di un tramonto sul mare.	Er is niets mooier dan een zonsondergang boven de zee.
Non è che non voglia aiutarti, ma ho le mani legate.	Het is niet zo dat ik je niet wil helpen, maar ik heb mijn handen gebonden.
Non ho ricevuto nessuna chiamata da parte sua.	Ik heb geen telefoontje van hem ontvangen.
Non è possibile che non abbia capito.	Het is niet mogelijk dat hij het niet heeft begrepen.
Non ho visto nessuno al parco.	Ik heb niemand in het park gezien.
Non c'è niente di cui preoccuparsi.	Er is niets om je zorgen over te maken.
Non voglio nessun altro dolce.	Ik wil geen ander dessert.
Non ho nessun interesse in quel libro.	Ik heb geen interesse in dat boek.
